;Univers;n;gov
69;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Национальный исследовательский университет &quot;Московский институт электронной техники&quot;";16;1
90;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Южно-Уральский государственный университет (национальный исследовательский университет)&quot;";16;1
262;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Российский государственный гуманитарный университет&quot;";16;1
308;"Федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Уфимский государственный авиационный технический университет&quot;";16;1
414;Федеральное государственное бюджетное учреждение науки Институт всеобщей истории Российской академии наук;16;1
416;Федеральное государственное бюджетное учреждение науки Институт высокомолекулярных соединений Российской академии наук;16;1
556;Федеральное государственное бюджетное учреждение науки Институт химии твердого тела Уральского отделения Российской академии наук;16;1
559;федеральное государственное бюджетное учреждение науки Институт химической кинетики и горения им. В.В. Воеводского Сибирского отделения Российской академии наук;16;1
574;Федеральное государственное бюджетное учреждение науки Институт ядерной физики им. Г.И. Будкера Сибирского отделения Российской академии наук;16;1
77;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский университет дружбы народов&quot;";15;1
81;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Санкт-Петербургский государственный электротехнический университет &quot;ЛЭТИ&quot; им. В.И. Ульянова (Ленина)&quot;";15;1
258;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Приволжский исследовательский медицинский университет&quot; Министерства здравоохранения Российской Федерации";15;1
388;федеральное государственное бюджетное учреждение науки Государственный научный центр Российской Федерации - Институт медико-биологических проблем Российской академии наук;15;1
410;Федеральное государственное бюджетное учреждение науки Институт биохимической физики им. Н.М. Эмануэля Российской академии наук;15;1
576;федеральное государственное бюджетное учреждение науки Институт языкознания Российской академии наук;15;1
345;"федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр онкологии имени Н.Н. Петрова&quot; Министерства здравоохранения Российской Федерации";14;1
393;Федеральное государственное бюджетное учреждение науки Институт автоматики и процессов управления Дальневосточного отделения Российской академии наук;14;1
457;Федеральное государственное бюджетное учреждение науки Институт математики и механики им.Н.Н.Красовского Уральского отделения Российской академии наук;14;1
464;федеральное государственное бюджетное учреждение науки Институт металлургии и материаловедения им. А.А. Байкова Российской академии наук;14;1
471;Федеральное государственное бюджетное учреждение науки Институт молекулярной и клеточной биологии Сибирского отделения Российской академии наук;14;1
481;Федеральное государственное бюджетное учреждение науки Институт общей физики им. А.М. Прохорова Российской академии наук;14;1
585;Федеральное государственное бюджетное учреждение науки Научный центр волоконной оптики Российской академии наук;14;1
212;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Кубанский государственный университет&quot;";13;1
362;"федеральное государственное бюджетное учреждение высшего образования и науки &quot;Санкт-Петербургский национальный исследовательский Академический университет Российской академии наук&quot;";13;1
411;Федеральное государственное бюджетное учреждение науки Институт водных проблем Российской академии наук;13;1
435;Федеральное государственное бюджетное учреждение науки Институт гидродинамики им. М.А. Лаврентьева Сибирского отделения Российской академии наук;13;1
476;Федеральное государственное бюджетное учреждение науки Институт нефтегазовой геологии и геофизики им. А.А. Трофимука Сибирского отделения Российской академии наук;13;1
484;федеральное государственное бюджетное учреждение науки Институт органического синтеза им. И.Я.Постовского Уральского отделения Российской академии наук;13;1
554;федеральное государственное бюджетное учреждение науки Институт химии растворов им. Г.А. Крестова Российской академии наук;13;1
598;Федеральное государственное бюджетное учреждение науки Санкт-Петербургское отделение Математического института им. В. А. Стеклова Российской академии наук;13;1
75;"федеральное государственное автономное образовательное учреждение высшего образования &quot;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина&quot;";12;1
193;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Ивановский государственный химико-технологический университет&quot;";12;1
203;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Казанский национальный исследовательский технологический университет&quot;";12;1
276;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Санкт-Петербургский горный университет&quot;";12;1
292;"федеральное государственное бюджетное образовательное учреждение высшего образования &quot;Тамбовский государственный университет имени Г.Р. Державина&quot;";12;1
344;"Федеральное государственное бюджетное учреждение &quot;Национальный медицинский исследовательский центр кардиологии&quot; Министерства здравоохранения Российской Федерации";12;1
417;Федеральное государственное бюджетное учреждение науки Институт высокотемпературной электрохимии Уральского отделения Российской академии наук;12;1
502;федеральное государственное бюджетное учреждение науки Институт проблем управления им. В. А. Трапезникова Российской академии наук;12;1
517;Федеральное государственное бюджетное учреждение науки Институт систематики и экологии животных Сибирского отделения Российской академии наук;12;1
520;Федеральное государственное бюджетное учреждение науки Институт спектроскопии Российской академии наук;12;1
527;федеральное государственное бюджетное учреждение науки Институт теоретической и экспериментальной биофизики Российской академии наук;12;1
541;федеральное государственное бюджетное учреждение науки Институт физиологии им. И.П. Павлова Российской академии наук;12;1
543;Федеральное государственное бюджетное учреждение науки Институт физиологически активных веществ Российской академии наук;12;1
61;"Федеральное государственное автономное образовательное учреждение высшего образования &quot;Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации&quot;";11;1
