region_rus;region;region_rus_from_map;region_EN_from_map;inventive_rate2018;research_expend_region2017;state_subsidy2018;state_subsidy2018_2;grant_fonds;other_types_financing;data_jan2019;phd_students;female;full_time;selffunded;n_uni_phd_prog;n_uni_phd_foreign;n_kandidat_defence2018;n_kandidat_defence_female2018;n_uni_diss_council;n_phdsupervisors2018;phd_superv_professor;n_phd_supervisor_female;n_phd_supervisor_female_prof;n_uni_elibrary;n_readers_elibrary;n_researchers2018;n_unis20172018;RNF_grants;n_researchers_per_grant;n_uni_grants;n_years_grants;n_categories_grants;rnf2014;rnf2015;rnf2016;rnf2017;rnf2018;rnf2019;n_org;n_grants_1row;n_grants_2row;n_grants_3row;n_grants_4row;n_grants_5row;n_grants_6row;n_grants_7row;megagrants_all;n_people_presidentgrant;ECI;randd_subrank1;randd_subrank2;research_outputWoS201517;patents_research_outputWoS201517;call_patents2015;density_foreign_stud;share_expendscience_region;n_projects;region_id;sum_14_19;sh_2014;sh_2015;sh_2016;sh_2017;sh_2018;sh_2019;first_period;second_period;change2015;change2016;change2017;change2018;change2019
Липецкая область;Lipetzk region;Липецкая область;Lipetskaya oblastʹ;0.43;0.06;22338.2;0;15107.1;747.2;206;226;80;163;120;3;3;12;6;0;90;57;37;18;28;934;242;5;2;121;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0.2289;0.4;0.3215;0.452;0.28;0.439;0.108;0.01;0.301;31;2;0;0;0;0;0.00138;0;0;0.00046;0;0;0;0.00138;-0.00138
Магаданская область;Magadan region;Магаданская область;Magadanskaya oblastʹ;0.35;0.44;225036.1;979;417.6;0;479;31;15;31;18;1;0;0;0;0;20;3;12;1;13;265;178;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.0085;0.39;0.3041;0.453;0.254;0;0.088;0;0.282;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Московская область;Moscow region;Московская область;Moskovskaya oblastʹ;4.48;3.15;5310476.5;9683680.2;1436083.7;7465691.1;97524;2515;1098;1649;414;70;19;192;85;10;1156;364;339;117;596;11191;8232;24;349;23.59;32;0;109;50;12;48;68;70;101;7;3;4;3;2;2;0;2;16;245;1.9007;0.58;0.5165;0.325;0.8;0.676;0.311;0.167;0.553;33;349;0.04464;0.02871;0.05381;0.04151;0.04838;0.04821;0.04239;0.04603;-0.01593;0.0251;-0.0123;0.00686;-0.00017
Мурманская область;Murmansk region;Мурманская область;Murmanskaya oblastʹ;0.24;0.51;314094.7;7070.4;47735.9;18708.9;1888;208;109;175;33;5;2;0;0;0;105;26;43;10;30;1576;471;3;16;29.44;10;0;11;3;1;2;3;2;5;0;0;0;0;0;0;0;0;0;15;-0.1875;0.41;0.3349;0.472;0.239;0.444;0.066;0.181;0.418;34;16;0.00268;0.00239;0.00224;0.00183;0.00138;0.00239;0.00244;0.00187;-0.00029;-0.00015;-0.00041;-0.00045;0.001
Ненецкий автономный округ (Архангельская область);Nenets autonomous district;Ненецкий АОк;Nenetskiy AOk;0;0.01;11305.2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.148;0.17;0.181;0.12;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Нижегородская область;Nizhni Novgorod region;Нижегородская область;Nizhegorodskaya oblastʹ;1.08;6.05;258603.1;3703767.7;1295871;1449973.8;38901;1797;726;1347;486;21;11;238;104;8;897;363;228;98;188;4983;2201;11;308;7.15;9;0;91;33;25;37;70;67;76;4;4;2;5;4;2;5;2;24;225;1.1233;0.54;0.5598;0.305;0.412;0.585;0.185;0;0.688;36;308;0.02946;0.05981;0.04148;0.04274;0.0463;0.03628;0.04358;0.04177;0.03034;-0.01833;0.00126;0.00357;-0.01003
Новгородская область;Novgorod region;Новгородская область;Novgorodskaya oblastʹ;0.75;1.02;13618;215419.7;28850;0;2493;70;23;40;44;1;1;44;0;0;47;35;16;9;29;786;58;1;5;11.6;1;0;5;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0.1842;0.44;0.4966;0.263;0.357;0;0.281;0.012;0.587;37;5;0;0.00478;0.00112;0;0.00069;0.00048;0.00197;0.00039;0.00478;-0.00366;-0.00112;0.00069;-0.00021
Новосибирская область;Novosibirsk region;Новосибирская область;Novosibirskaya oblastʹ;1.64;0.35;4702626.7;1050040.1;2398521.3;719457.9;20341;2396;1111;2025;564;56;25;261;119;13;1394;499;392;126;282;6200;5004;10;715;7;46;0;172;102;40;87;151;135;200;11;3;3;5;3;4;2;4;24;632;0.8246;0.61;0.5032;0.663;0.523;0.697;0.445;0.003;0.913;38;715;0.09107;0.09569;0.09753;0.09219;0.0933;0.09547;0.09477;0.09365;0.00462;0.00184;-0.00535;0.00111;0.00217
Омская область;Omsk region;Омская область;Omskaya oblastʹ;1.11;0.21;223357.3;32295.9;87809;292112.7;4236;986;441;669;445;12;8;74;39;3;372;184;139;55;77;3150;343;7;20;17.15;5;0;16;3;1;3;7;2;4;0;0;0;0;0;0;0;0;0;35;0.7714;0.54;0.4404;0.484;0.368;0.303;0.993;0;0.434;39;20;0.00268;0.00239;0.00336;0.00427;0.00138;0.00191;0.00281;0.00252;-0.00029;0.00097;0.00091;-0.00289;0.00053
Оренбургская область;Orenburg region;Оренбургская область;Orenburgskaya oblastʹ;0.89;0.13;287595.1;18348.2;59495.3;25333.3;1351;345;225;238;111;8;5;36;25;2;171;88;85;44;51;2257;257;5;9;28.56;3;0;3;3;0;1;4;0;1;0;0;0;0;0;0;0;0;0;13;0.5631;0.4;0.3087;0.375;0.336;0.257;0.495;0.094;0.305;40;9;0.00268;0;0.00112;0.00244;0;0.00048;0.00127;0.00097;-0.00268;0.00112;0.00132;-0.00244;0.00048
